{'time': 1.667048692703247, 'x': -0.06294797242447091, 'y': -0.027479216118620663, 'z': 0.045187801356145495, 'yaw': 0.06916113111751412, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6770191192626953, 'x': -0.062954305134469, 'y': -0.027497752216583564, 'z': 0.04518594153921906, 'yaw': 0.06944214061330546, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.68699049949646, 'x': -0.06296349617554434, 'y': -0.02750352359241799, 'z': 0.045194287300207414, 'yaw': 0.06886424440638618, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.695967674255371, 'x': -0.06294992908027447, 'y': -0.027492690342161723, 'z': 0.04517774276050753, 'yaw': 0.06953118865842767, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7069370746612549, 'x': -0.06298369981149195, 'y': -0.02751162386419635, 'z': 0.04520268884571413, 'yaw': 0.06931264735422961, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7169110774993896, 'x': -0.06295040184694989, 'y': -0.02750823261705264, 'z': 0.04521687578192851, 'yaw': 0.06941534209696594, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7268884181976318, 'x': -0.06294977870017512, 'y': -0.02748524652677657, 'z': 0.04519325808948169, 'yaw': 0.06968500871042614, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7378551959991455, 'x': -0.06293256328688947, 'y': -0.027518737243303178, 'z': 0.045178092467491146, 'yaw': 0.06849959435798578, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7464723587036133, 'x': -0.0629767887370994, 'y': -0.02749949141479741, 'z': 0.04518213952561687, 'yaw': 0.06926190482592505, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.75645112991333, 'x': -0.06296259309315025, 'y': -0.027503598850693776, 'z': 0.04517740160861035, 'yaw': 0.06988381640395228, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.76641845703125, 'x': -0.06297190653417792, 'y': -0.027509763168092807, 'z': 0.04520042104691163, 'yaw': 0.06943611533122164, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7763934135437012, 'x': -0.06295940472807764, 'y': -0.027497288268483768, 'z': 0.04519518857351199, 'yaw': 0.06947129618828479, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7863662242889404, 'x': -0.0629583099328659, 'y': -0.027494314083139876, 'z': 0.04521847350779432, 'yaw': 0.069644649658903, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.796339511871338, 'x': -0.06295261437052625, 'y': -0.027497596678256034, 'z': 0.045187876534284355, 'yaw': 0.06990186870777067, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8073089122772217, 'x': -0.06297869149074874, 'y': -0.02750130626335953, 'z': 0.04518926248461692, 'yaw': 0.06945123277582732, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8162884712219238, 'x': -0.0629712590006179, 'y': -0.027502606714279704, 'z': 0.04518084727781948, 'yaw': 0.06932459030008391, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8262619972229004, 'x': -0.06297494409650603, 'y': -0.027501448971871612, 'z': 0.04519550903955294, 'yaw': 0.06940498717167548, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8382291793823242, 'x': -0.0629548362340176, 'y': -0.027508130701891734, 'z': 0.045209999110736816, 'yaw': 0.06926621906392703, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8462047576904297, 'x': -0.06295297047756511, 'y': -0.027506429392791826, 'z': 0.045181017176220875, 'yaw': 0.06975471110319936, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.856213092803955, 'x': -0.06296692434557496, 'y': -0.02751150919813746, 'z': 0.04521378537032889, 'yaw': 0.06947421021142888, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8671534061431885, 'x': -0.06296803847212865, 'y': -0.02750183608279863, 'z': 0.045192311878064766, 'yaw': 0.06922588561644437, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8771226406097412, 'x': -0.06297750774455968, 'y': -0.02750297634862028, 'z': 0.04517119665331578, 'yaw': 0.06940288917175914, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.887094497680664, 'x': -0.0629754286296215, 'y': -0.02750205584399854, 'z': 0.04519633423978089, 'yaw': 0.06954743434384958, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8970682621002197, 'x': -0.06296054194422857, 'y': -0.027491200104012587, 'z': 0.04520186307759724, 'yaw': 0.06968893308452141, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.907045602798462, 'x': -0.06295469295390195, 'y': -0.02750458352955314, 'z': 0.04519063218485205, 'yaw': 0.0695614978902924, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9170191287994385, 'x': -0.06291754916235393, 'y': -0.027504166788489326, 'z': 0.04519061585602287, 'yaw': 0.06852067114110809, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.926896572113037, 'x': -0.06296573110005411, 'y': -0.02748965676006325, 'z': 0.04521481630849747, 'yaw': 0.0699196204100112, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9368700981140137, 'x': -0.06295963787342884, 'y': -0.027497626887894405, 'z': 0.04517250963322629, 'yaw': 0.06963011371456237, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
