{'time': 2.0108542442321777, 'x': -0.9339281797682424, 'y': 0.07211875312321624, 'z': 0.04914983790168609, 'yaw': 0.1507353219197108, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.016885280609131, 'x': -0.9340161876105953, 'y': 0.07233731307963737, 'z': 0.04867812568118856, 'yaw': 0.14872565264643817, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0309088230133057, 'x': -0.933876813974483, 'y': 0.07194369895754349, 'z': 0.04956006918161053, 'yaw': 0.1501568494319148, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0409340858459473, 'x': -0.9339270642331875, 'y': 0.07197178567679066, 'z': 0.049597822519384806, 'yaw': 0.1494252710439241, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.050964832305908, 'x': -0.9339660912824445, 'y': 0.07211370616905342, 'z': 0.049249926878232195, 'yaw': 0.15120072240030522, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.061143636703491, 'x': -0.934012692659318, 'y': 0.07231666017044608, 'z': 0.04869178938764719, 'yaw': 0.14745911068875908, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.071014165878296, 'x': -0.9339347956295174, 'y': 0.0720929750323161, 'z': 0.049157561896445434, 'yaw': 0.15022842862483118, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.081300973892212, 'x': -0.9339306581323753, 'y': 0.07214388730926309, 'z': 0.04919091925676808, 'yaw': 0.15339834993126658, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0905840396881104, 'x': -0.9338916226122225, 'y': 0.07206022106462924, 'z': 0.04905285877173101, 'yaw': 0.1516514740952674, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1005709171295166, 'x': -0.9339120616418826, 'y': 0.07214465739646213, 'z': 0.0492393603957538, 'yaw': 0.1518372964141797, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.110609292984009, 'x': -0.9339191519027699, 'y': 0.07204560621864244, 'z': 0.04916932751866371, 'yaw': 0.15157943769325258, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.116624593734741, 'x': -0.9339176472862439, 'y': 0.07210011251127504, 'z': 0.049189349054225645, 'yaw': 0.1522502376367757, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.131054162979126, 'x': -0.9339271006046028, 'y': 0.07212027935440643, 'z': 0.04912083715322313, 'yaw': 0.15047083482557452, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.141082763671875, 'x': -0.9339170317935077, 'y': 0.07211412593156172, 'z': 0.04918535877201103, 'yaw': 0.15332221583390307, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1511058807373047, 'x': -0.9339389436940573, 'y': 0.07214971770917172, 'z': 0.04919148694091571, 'yaw': 0.15173773850515931, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1611337661743164, 'x': -0.9339318720057339, 'y': 0.07198580927008814, 'z': 0.04960914209352249, 'yaw': 0.15090360214077947, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1711604595184326, 'x': -0.9339041213624811, 'y': 0.07195762333872449, 'z': 0.04958513658294953, 'yaw': 0.1508450228732707, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1803150177001953, 'x': -0.9339189647752465, 'y': 0.07206278288174373, 'z': 0.0491235288395479, 'yaw': 0.15122202311970545, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.191218137741089, 'x': -0.9338997273563453, 'y': 0.07209663208970463, 'z': 0.04920800124237545, 'yaw': 0.15034842118092392, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.2012455463409424, 'x': -0.9339957524975468, 'y': 0.07231031751089234, 'z': 0.04865663949878743, 'yaw': 0.148722896954298, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.2102439403533936, 'x': -0.933952139094384, 'y': 0.07209812412110893, 'z': 0.049204462863134825, 'yaw': 0.15003771987778972, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.221264600753784, 'x': -0.933920742876731, 'y': 0.07216026739972062, 'z': 0.04915894689043814, 'yaw': 0.15242253836386532, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.231289863586426, 'x': -0.9339087364103673, 'y': 0.07207397668108026, 'z': 0.0491634840242502, 'yaw': 0.15189116994054647, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.2413158416748047, 'x': -0.9339116556141818, 'y': 0.07208152865513813, 'z': 0.04908266770928129, 'yaw': 0.151362758572047, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
