{'time': 1.799880027770996, 'x': 0.014672798609390242, 'y': 0.010851028079145357, 'z': 0.06112742716518433, 'yaw': 0.001438724313764711, 'velocity': 0.0113120389090612, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8103253841400146, 'x': 0.014585003652054949, 'y': 0.010920216908950087, 'z': 0.06119822858041824, 'yaw': 0.0027363435443771922, 'velocity': 0.015449566199896141, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8204891681671143, 'x': 0.014653819334061208, 'y': 0.010929540994106977, 'z': 0.06113894219161722, 'yaw': 0.0029562803398968146, 'velocity': 0.008983802955296502, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.830991268157959, 'x': 0.014708996455101578, 'y': 0.010851532821452601, 'z': 0.061091299660059245, 'yaw': 0.0009711002513795347, 'velocity': 0.011272466416225237, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8401658535003662, 'x': 0.014772159902461706, 'y': 0.010854460515249891, 'z': 0.061059508483519986, 'yaw': -0.0014782557504142702, 'velocity': 0.008653366157878926, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.851111888885498, 'x': 0.014639406969442487, 'y': 0.01093215179589831, 'z': 0.06116066466302849, 'yaw': 0.0035051823432733563, 'velocity': 0.019886690502549983, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8604083061218262, 'x': 0.014673327752041821, 'y': 0.010852956285541643, 'z': 0.061093493974250644, 'yaw': 0.001680863968086683, 'velocity': 0.01175129133955655, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8703563213348389, 'x': 0.014591124799158858, 'y': 0.010930925766467047, 'z': 0.061112418208284856, 'yaw': 0.0027609283860199154, 'velocity': 0.01278844678243355, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.880547046661377, 'x': 0.014713356982924955, 'y': 0.010838645725412974, 'z': 0.06111884524193332, 'yaw': 0.0012129453442645557, 'velocity': 0.016668621301735232, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8895149230957031, 'x': 0.014691443878759659, 'y': 0.010824274578597448, 'z': 0.061087494027599124, 'yaw': 0.0004735791933382433, 'velocity': 0.005120955267936229, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9001142978668213, 'x': 0.014805468575843627, 'y': 0.010851482976699299, 'z': 0.061028832759421295, 'yaw': -0.0009827011977154854, 'velocity': 0.01364353243982356, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.910487413406372, 'x': 0.014594409435147357, 'y': 0.010939132623596599, 'z': 0.061132503296431114, 'yaw': 0.0032234921627016977, 'velocity': 0.02676638739543003, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
