{'time': 1.825632095336914, 'x': 0.004410023547482891, 'y': 0.006402950801973859, 'z': 0.04281207928880028, 'yaw': 0.07227114288274146, 'velocity': 0.011475222681777123, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8356070518493652, 'x': 0.0044243755243045585, 'y': 0.006410200270699712, 'z': 0.04285266524215453, 'yaw': 0.0717672470196126, 'velocity': 0.007327893811862796, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8456037044525146, 'x': 0.004406432953720585, 'y': 0.006383917000821173, 'z': 0.04286571313282303, 'yaw': 0.07282470548717966, 'velocity': 0.005725352885811695, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.855553150177002, 'x': 0.004441385602077666, 'y': 0.006359542532178671, 'z': 0.04283976637257038, 'yaw': 0.07211306363423489, 'velocity': 0.005014374477486987, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8655502796173096, 'x': 0.004408110660707976, 'y': 0.006378209272715073, 'z': 0.042784913922886386, 'yaw': 0.07221671467951193, 'velocity': 0.006683580152638668, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8754992485046387, 'x': 0.0043968175296427835, 'y': 0.0064044875276121705, 'z': 0.04282461568187466, 'yaw': 0.07306673019250917, 'velocity': 0.004918268359879692, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8854970932006836, 'x': 0.0044250725521731114, 'y': 0.006376828120619799, 'z': 0.04287077195055033, 'yaw': 0.07304312011798433, 'velocity': 0.00607896619045825, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8954706192016602, 'x': 0.004440077029789797, 'y': 0.006396325268203139, 'z': 0.04285727702294732, 'yaw': 0.07197126050941278, 'velocity': 0.0028134886706953632, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9054195880889893, 'x': 0.004428407105260658, 'y': 0.006387092934510072, 'z': 0.04282600975187693, 'yaw': 0.0720226119246591, 'velocity': 0.003480513770711569, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9193828105926514, 'x': 0.004452148561763772, 'y': 0.006361711915302178, 'z': 0.04284985791450094, 'yaw': 0.07220965654611136, 'velocity': 0.004695818763149939, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9293556213378906, 'x': 0.00442783054166585, 'y': 0.006381709167506698, 'z': 0.04281172123742496, 'yaw': 0.07184342871648194, 'velocity': 0.005509697790081473, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9393291473388672, 'x': 0.004411482935369621, 'y': 0.006411879994968781, 'z': 0.04283897380537276, 'yaw': 0.07270376043208132, 'velocity': 0.004881440199572083, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
