{'time': 1.5511219501495361, 'x': 0.05083593830319811, 'y': 0.018504564237217858, 'z': 0.04872169357498545, 'yaw': 0.2641752040155667, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5571389198303223, 'x': 0.050829976934690387, 'y': 0.01850765617287546, 'z': 0.048691793205215245, 'yaw': 0.2635299587542293, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.563154935836792, 'x': 0.05082321074321917, 'y': 0.018426124500842266, 'z': 0.048663838299305415, 'yaw': 0.2598638585717853, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5691707134246826, 'x': 0.05082430015152973, 'y': 0.018442510370399554, 'z': 0.0486551489287883, 'yaw': 0.25908910858950224, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5751874446868896, 'x': 0.05080476682713846, 'y': 0.0184386002597319, 'z': 0.048667071088946634, 'yaw': 0.2592222852020707, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5812029838562012, 'x': 0.05081868306939052, 'y': 0.018517406459500424, 'z': 0.04871691470770602, 'yaw': 0.26370408785194616, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5882210731506348, 'x': 0.050797076641929666, 'y': 0.018501510146555288, 'z': 0.04872981359494053, 'yaw': 0.26371747655728295, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.593233585357666, 'x': 0.05080335285753225, 'y': 0.018428004654955324, 'z': 0.048683844301965006, 'yaw': 0.26020883337415573, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.599250078201294, 'x': 0.05085190596657671, 'y': 0.018533061942911634, 'z': 0.048673238104390684, 'yaw': 0.2639298590279308, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.60526704788208, 'x': 0.05083617135056633, 'y': 0.01843857672616577, 'z': 0.048617493246830776, 'yaw': 0.25971581581490555, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6112828254699707, 'x': 0.05084711702975506, 'y': 0.018524746909550138, 'z': 0.04867394980463777, 'yaw': 0.2635048325878853, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6172988414764404, 'x': 0.05083543303286078, 'y': 0.01852357140022217, 'z': 0.04870964696391095, 'yaw': 0.2636350638674651, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.623314619064331, 'x': 0.0507893973756067, 'y': 0.018420008894685952, 'z': 0.04868159500954287, 'yaw': 0.2597839231873893, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6293308734893799, 'x': 0.0507954036920111, 'y': 0.01841819976607326, 'z': 0.04868221885947519, 'yaw': 0.25932261114912103, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6353466510772705, 'x': 0.050773438311906297, 'y': 0.018422582923394278, 'z': 0.048671683674133354, 'yaw': 0.25957115102126965, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.641362190246582, 'x': 0.05084711707143476, 'y': 0.018524953154284617, 'z': 0.04870295129019973, 'yaw': 0.26358838213657215, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6473777294158936, 'x': 0.05081055375419947, 'y': 0.018430181772300512, 'z': 0.048650653114158636, 'yaw': 0.2598023326616231, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6533949375152588, 'x': 0.05083814849483962, 'y': 0.0185160805647914, 'z': 0.04868384007362232, 'yaw': 0.26417673988946894, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6594102382659912, 'x': 0.050807475879750486, 'y': 0.018424510233221725, 'z': 0.04865299855586328, 'yaw': 0.25995477448865284, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6654253005981445, 'x': 0.05084259091935876, 'y': 0.018517721811116085, 'z': 0.048695746988438114, 'yaw': 0.263888610513447, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6714439392089844, 'x': 0.050804323151736726, 'y': 0.018434793917140778, 'z': 0.048667023564420625, 'yaw': 0.25974677685607667, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.677457332611084, 'x': 0.0508107282026928, 'y': 0.018430561870929434, 'z': 0.04868175492661598, 'yaw': 0.2597352487584964, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6834745407104492, 'x': 0.05082285872832203, 'y': 0.018515729769990913, 'z': 0.048711235943264125, 'yaw': 0.2635932608358027, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.689490556716919, 'x': 0.050822246186386026, 'y': 0.018517066470488654, 'z': 0.04870229440062259, 'yaw': 0.2636988626743388, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6955063343048096, 'x': 0.05083348953901479, 'y': 0.01851875205126307, 'z': 0.04869726516504415, 'yaw': 0.2640143712042909, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7015225887298584, 'x': 0.050844133512226754, 'y': 0.01852360001343948, 'z': 0.04867585002584547, 'yaw': 0.26372562038931, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.707538366317749, 'x': 0.050828686280103175, 'y': 0.018434888850860833, 'z': 0.04865726434892236, 'yaw': 0.25996854569984473, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7135546207427979, 'x': 0.0508270525158967, 'y': 0.01851402325767779, 'z': 0.04874038535511932, 'yaw': 0.26374176522902854, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7195689678192139, 'x': 0.05081316979764135, 'y': 0.01850639830133339, 'z': 0.04872387625442346, 'yaw': 0.2635837327642523, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7255864143371582, 'x': 0.05083111798445536, 'y': 0.018510571556493223, 'z': 0.04870799267671398, 'yaw': 0.26426132789410295, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.731602430343628, 'x': 0.0508115825414348, 'y': 0.018421103784983968, 'z': 0.04865863993797328, 'yaw': 0.25964308625030447, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7376177310943604, 'x': 0.050843056857900096, 'y': 0.018439908963393113, 'z': 0.04865168650334894, 'yaw': 0.2598021125828171, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7436344623565674, 'x': 0.05083027472464557, 'y': 0.018427472025674546, 'z': 0.04862882349149112, 'yaw': 0.2598617720346586, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7496516704559326, 'x': 0.05081339278110284, 'y': 0.01852909668603804, 'z': 0.04866574457045706, 'yaw': 0.2636624666832364, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.755673885345459, 'x': 0.050818665942143106, 'y': 0.018500952502030852, 'z': 0.04872902149003712, 'yaw': 0.26364208695615965, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
