{'time': 1.6026835441589355, 'x': 0.380270389861555, 'y': -0.008995495550909944, 'z': 0.04486024221887966, 'yaw': -0.020221967931685292, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6087026596069336, 'x': 0.38025603040362216, 'y': -0.008988779185192712, 'z': 0.044855443632302906, 'yaw': -0.020259846198746878, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6147172451019287, 'x': 0.3802653561058778, 'y': -0.008991401946048807, 'z': 0.044857696451274374, 'yaw': -0.02000853626049981, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.620732069015503, 'x': 0.3802280760973862, 'y': -0.009052567980412273, 'z': 0.044767545884109014, 'yaw': -0.01760129592233639, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6267476081848145, 'x': 0.38021774473853753, 'y': -0.009047121924314241, 'z': 0.044777006496018415, 'yaw': -0.017711704133906103, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.632765293121338, 'x': 0.3802714034383705, 'y': -0.009000647155554067, 'z': 0.044864983323805625, 'yaw': -0.019918756886434963, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6387813091278076, 'x': 0.3802751290051846, 'y': -0.009002560936886015, 'z': 0.04487846821572813, 'yaw': -0.01973671389742293, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6447958946228027, 'x': 0.38027403178369457, 'y': -0.008999513059220369, 'z': 0.044888827973633735, 'yaw': -0.020332809010781716, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6508116722106934, 'x': 0.3802557601549952, 'y': -0.008989024992758247, 'z': 0.04488179943294425, 'yaw': -0.019976567810497947, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6568293571472168, 'x': 0.3802612063870985, 'y': -0.008993407150399799, 'z': 0.044884605500137856, 'yaw': -0.02008439614660773, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6628453731536865, 'x': 0.3802168774982613, 'y': -0.009047134881620648, 'z': 0.0448060735885332, 'yaw': -0.01784640057294329, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6688616275787354, 'x': 0.38028671889681137, 'y': -0.008993138989017595, 'z': 0.044856848855764145, 'yaw': -0.020270919281063726, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6748771667480469, 'x': 0.3802184190464249, 'y': -0.009046920215699979, 'z': 0.04479003492066346, 'yaw': -0.017900534516459565, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6808934211730957, 'x': 0.3802425611761281, 'y': -0.00899046069618517, 'z': 0.04485840256863708, 'yaw': -0.020057155645691438, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6869094371795654, 'x': 0.3802662706775489, 'y': -0.008990830135256457, 'z': 0.04487063660844586, 'yaw': -0.020382782197491345, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6929011344909668, 'x': 0.38027262609465845, 'y': -0.008989415632945265, 'z': 0.04485149927984067, 'yaw': -0.019831438052763772, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6989166736602783, 'x': 0.38025921394353723, 'y': -0.008994980962935262, 'z': 0.04483957427184151, 'yaw': -0.020190165088740386, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.704932689666748, 'x': 0.38024621048047047, 'y': -0.008994844158277693, 'z': 0.04483918677122109, 'yaw': -0.020112510282320528, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7109489440917969, 'x': 0.3802836387763782, 'y': -0.008997853992537507, 'z': 0.044857519499399166, 'yaw': -0.019910885002218492, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7160913944244385, 'x': 0.38023252167393734, 'y': -0.009043287834291197, 'z': 0.04477184377510906, 'yaw': -0.017625803392467, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7221074104309082, 'x': 0.3802269505509801, 'y': -0.009055479989262993, 'z': 0.04480230719970327, 'yaw': -0.0177687930954189, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7281231880187988, 'x': 0.3802596601415503, 'y': -0.009002423699674631, 'z': 0.04489913422121642, 'yaw': -0.02028594530320582, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7341392040252686, 'x': 0.3802709360687012, 'y': -0.00901426991702979, 'z': 0.044919706170806824, 'yaw': -0.020108749723985575, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.740182638168335, 'x': 0.3802987082208672, 'y': -0.009020895717497576, 'z': 0.04491564413227604, 'yaw': -0.02073263862901431, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
